price,metro_station,minutes_to_metro,rooms,area,floor,total_floors,renovation,floor_ratio,is_first_floor,is_last_floor,is_studio,log_area,log_price
36900000.0,Филёвский парк,7.0,3.0,82.0,3.0,5,Designer,0.6,0,0,0,4.418840607796598,17.423722136111028
41990000.0,Парк культуры,5.0,3.0,78.2,2.0,7,European-style renovation,0.2857142857142857,0,0,0,4.37197629882038,17.55294207647557
45000000.0,Серпуховская,11.0,3.0,107.3,22.0,29,Without renovation,0.7586206896551724,0,0,0,4.684905154006945,17.622173069956816
45000000.0,Шелепиха,12.0,3.0,85.8,28.0,42,Without renovation,0.6666666666666666,0,0,0,4.463606621666305,17.622173069956816
47900000.0,Смоленская,7.0,3.0,91.0,7.0,8,Designer,0.875,0,0,0,4.5217885770490405,17.68462608325797
49990000.0,Шелепиха,12.0,3.0,89.0,30.0,37,Without renovation,0.8108108108108109,0,0,0,4.499809670330265,17.727333563393753
50990000.0,Шелепиха,12.0,3.0,88.6,34.0,42,Designer,0.8095238095238095,0,0,0,4.4953553199808844,17.747140112643027
76000000.0,Проспект Мира,5.0,3.0,121.0,6.0,12,European-style renovation,0.5,0,0,0,4.804021044733257,18.1462439114085
82000000.0,Аэропорт,10.0,3.0,163.5,9.0,57,Designer,0.15789473684210525,0,0,0,5.1029105702054265,18.22222981742365
147213000.0,Улица 1905 года,15.0,3.0,148.7,4.0,20,Designer,0.2,0,0,0,5.008633291425583,18.80739108236976
190000000.0,Ломоносовский проспект,4.0,3.0,105.4,4.0,8,Designer,0.5,0,0,0,4.667205576907544,19.06253463538792
12800000.0,Рязанский проспект,5.0,3.0,60.0,9.0,9,European-style renovation,1.0,0,1,0,4.110873864173311,16.36495580701484
17650000.0,Рязанский проспект,5.0,3.0,60.0,4.0,17,Designer,0.23529411764705882,0,0,0,4.110873864173311,16.6862463980008
24000050.0,Профсоюзная,15.0,3.0,55.0,7.0,8,European-style renovation,0.875,0,0,0,4.02535169073515,16.99356651330996
30800000.0,Раменки,10.0,3.0,68.5,7.0,52,Without renovation,0.1346153846153846,0,0,0,4.241326752570746,17.243025280411334
32300000.0,Кунцевская,4.0,3.0,85.0,29.0,29,Without renovation,1.0,0,1,0,4.454347296253507,17.290577819152638
34000000.0,Фили,18.0,3.0,57.0,20.0,29,Designer,0.6896551724137931,0,0,0,4.060443010546419,17.341871111992198
39200000.0,Ботанический сад,11.0,3.0,117.9,20.0,20,Without renovation,1.0,0,1,0,4.778282803696737,17.484187330270895
39700000.0,Панфиловская,7.0,3.0,88.0,8.0,18,Designer,0.4444444444444444,0,0,0,4.48863636973214,17.496861770846337
41000000.0,Динамо,1.0,3.0,90.0,8.0,13,European-style renovation,0.6153846153846154,0,0,0,4.51085950651685,17.529082649058825
44000000.0,Беломорская,22.0,3.0,103.8,2.0,21,Designer,0.09523809523809523,0,0,0,4.6520537718869415,17.599700214609808
45000000.0,Выставочная,26.0,3.0,79.0,15.0,20,Designer,0.75,0,0,0,4.382026634673881,17.622173069956816
46000000.0,Аэропорт,14.0,3.0,123.8,1.0,16,European-style renovation,0.0625,1,0,0,4.826712455935327,17.6441519761925
49900000.0,Петровский парк,15.0,3.0,66.3,13.0,37,Designer,0.35135135135135137,0,0,0,4.209160236650682,17.725531580761828
