Price,Metro station,Minutes to metro,Number of rooms,Area,Floor,Number of floors,Renovation
400000000.0,Спортивная,8.0,4.0,201.6,1.0,7,Designer
80000000.0,Ломоносовский проспект,12.0,4.0,144.2,8.0,50,European-style renovation
450000000.0,Арбатская,7.0,4.0,207.0,6.0,8,Designer
78500000.0,Славянский бульвар,11.0,4.0,160.0,9.0,23,Designer
110000000.0,Международная,4.0,4.0,185.2,35.0,73,Designer
119000000.0,Менделеевская,6.0,4.0,200.5,8.0,8,Designer
59500000.0,Раменки,10.0,4.0,108.0,21.0,50,Without renovation
159500000.0,Кутузовская,8.0,4.0,181.4,22.0,53,Designer
32700000.0,Автозаводская,2.0,4.0,97.0,7.0,7,European-style renovation
47000000.0,Ростокино,11.0,4.0,134.3,35.0,38,Designer
51988700.0,Минская,28.0,4.0,98.0,5.0,14,Without renovation
52000000.0,Раменки,10.0,4.0,107.7,15.0,52,Without renovation
70000000.0,ЦСКА,10.0,4.0,147.4,2.0,32,Designer
74000000.0,Краснопресненская,10.0,4.0,157.0,2.0,3,Designer
79900000.0,Петровский парк,16.0,4.0,137.6,8.0,41,Without renovation
98500000.0,Маяковская,5.0,4.0,141.3,11.0,13,Without renovation
109990000.0,Аэропорт,10.0,4.0,226.2,15.0,22,European-style renovation
119000000.0,Новослободская,8.0,4.0,200.0,7.0,8,European-style renovation
164844000.0,Ломоносовский проспект,4.0,4.0,137.0,8.0,9,Designer
209250000.0,Международная,6.0,4.0,225.0,63.0,79,Designer
235000000.0,Спортивная,11.0,4.0,178.0,6.0,12,Designer
19800000.0,Коммунарка,9.0,4.0,87.1,6.0,12,European-style renovation
42200000.0,ВДНХ,10.0,4.0,102.0,7.0,22,Without renovation
48500000.0,Университет,8.0,4.0,95.6,3.0,8,Cosmetic
48999000.0,Минская,5.0,4.0,95.8,9.0,14,Without renovation
47000000.0,Аминьевская,2.0,4.0,108.0,29.0,39,Without renovation
80900000.0,Маяковская,4.0,4.0,132.3,6.0,8,Designer
119000000.0,Третьяковская,2.0,4.0,168.0,4.0,6,European-style renovation
150000000.0,Курская,14.0,4.0,143.0,6.0,7,Designer
204000000.0,Ломоносовский проспект,4.0,4.0,170.0,6.0,12,Without renovation
18800000.0,Кантемировская,13.0,4.0,89.8,3.0,14,European-style renovation
47900000.0,Щукинская,6.0,4.0,102.4,14.0,20,Without renovation
85900000.0,Серпуховская,9.0,4.0,131.1,2.0,17,European-style renovation
91200000.0,Маяковская,3.0,4.0,215.0,8.0,10,Designer
102990000.0,Смоленская,5.0,4.0,158.0,8.0,13,Designer
120000000.0,Третьяковская,2.0,4.0,167.8,4.0,5,European-style renovation
130000000.0,Полянка,3.0,4.0,192.0,7.0,8,European-style renovation
165000000.0,Курская,11.0,4.0,182.0,6.0,10,Without renovation
164844000.0,Ломоносовский проспект,4.0,4.0,137.0,8.0,9,Without renovation
169000000.0,Библиотека и Ленина,4.0,4.0,136.6,4.0,5,Designer
242000000.0,Ломоносовский проспект,4.0,4.0,131.0,7.0,9,Designer
243000000.0,Ломоносовский проспект,4.0,4.0,132.0,2.0,9,Designer
44999000.0,Аминьевская,5.0,4.0,101.0,6.0,27,Without renovation
62999000.0,Аминьевская,5.0,4.0,143.0,16.0,27,Without renovation
75000000.0,Маяковская,2.0,4.0,145.5,2.0,8,European-style renovation
79000000.0,Новокузнецкая,7.0,4.0,84.97,3.0,5,Designer
83000000.0,Смоленская,12.0,4.0,111.0,6.0,6,Designer
225000000.0,Новокузнецкая,5.0,5.0,162.7,7.0,8,Designer
261800000.0,Новокузнецкая,5.0,5.0,238.0,8.0,9,Designer
342000000.0,Парк культуры,10.0,5.0,235.6,3.0,5,Without renovation
249990000.0,Маяковская,2.0,5.0,270.0,9.0,11,Designer
275000000.0,Белорусская,5.0,5.0,370.0,5.0,6,Designer
341000000.0,Спортивная,7.0,5.0,227.5,6.0,12,Without renovation
49000000.0,Народное Ополчение,9.0,5.0,122.4,37.0,48,Without renovation
69500000.0,Народное Ополчение,9.0,5.0,164.4,37.0,48,Without renovation
350000000.0,Спортивная,9.0,5.0,305.0,2.0,6,Designer
380000000.0,Ломоносовский проспект,4.0,5.0,303.0,3.0,12,Without renovation
145000000.0,Минская,12.0,5.0,162.0,36.0,44,Designer
249000000.0,Полянка,7.0,5.0,200.0,4.0,15,European-style renovation
330000000.0,Белорусская,12.0,5.0,285.0,7.0,7,Without renovation
340000000.0,Улица 1905 года,11.0,5.0,284.0,16.0,17,Designer
60000000.0,Цветной бульвар,4.0,5.0,134.7,2.0,4,European-style renovation
270000000.0,Спортивная,6.0,5.0,210.2,16.0,16,Without renovation
271700000.0,Спортивная,7.0,5.0,209.0,16.0,16,Without renovation
135000000.0,Выставочная,19.0,5.0,172.0,5.0,20,Without renovation
214990000.0,Улица 1905 года,9.0,5.0,300.0,5.0,10,Designer
271700000.0,Спортивная,9.0,5.0,208.9,16.0,16,Without renovation
93000000.0,Баррикадная,8.0,5.0,214.9,7.0,15,Designer
160000000.0,Аэропорт,10.0,5.0,218.3,19.0,57,Designer
160000000.0,Аэропорт,10.0,5.0,219.0,16.0,57,Designer
87000000.0,Славянский бульвар,23.0,5.0,131.0,16.0,26,Designer
250000000.0,Кропоткинская,10.0,5.0,250.0,3.0,5,Designer
116000000.0,Пушкинская,9.0,5.0,125.0,4.0,6,Designer
150000000.0,Петровский парк,17.0,5.0,153.5,21.0,36,Designer
450000000.0,Фрунзенская,5.0,5.0,300.0,3.0,6,European-style renovation
145000000.0,Минская,13.0,5.0,165.0,35.0,44,Designer
66900000.0,Марьина Роща,6.0,5.0,150.0,7.0,7,Without renovation
67000000.0,Раменки,10.0,5.0,136.8,19.0,52,Without renovation
145000000.0,Аэропорт,10.0,5.0,215.0,9.0,57,Designer
