area,rooms,floor,total_floors,minutes_to_metro,floor_ratio,is_first_floor,is_last_floor,is_studio,log_area,metro_station,renovation
54.0,2.0,4.0,16,3.0,0.25,0,0,0,4.007333185232471,Бабушкинская,European-style renovation
72.5,3.0,4.0,20,14.0,0.2,0,0,0,4.297285406218791,Пыхтино,European-style renovation
86.7,3.0,20.0,25,19.0,0.8,0,0,0,4.473921899378137,Некрасовка,Cosmetic
52.3,2.0,21.0,22,7.0,0.9545454545454546,0,0,0,3.975936331171799,Спартак,Designer
22.2,0.0,1.0,7,14.0,0.1428571428571428,1,0,1,3.1441522786722644,Красный Балтиец,Cosmetic
95.0,2.0,7.0,8,5.0,0.875,0,0,0,4.564348191467836,Тульская,Designer
150.4,3.0,3.0,7,6.0,0.4285714285714285,0,0,0,5.019925341003349,Новослободская,Designer
30.0,0.0,16.0,58,6.0,0.2758620689655172,0,0,1,3.4339872044851463,Дмитровская,European-style renovation
36.7,1.0,4.0,24,35.0,0.1666666666666666,0,0,0,3.629660094453965,Пятницкое шоссе,Cosmetic
59.0,3.0,1.0,5,26.0,0.2,1,0,0,4.0943445622221,Белокаменная,Cosmetic
131.0,4.0,7.0,9,4.0,0.7777777777777778,0,0,0,4.882801922586371,Ломоносовский проспект,Designer
32.0,1.0,11.0,25,25.0,0.44,0,0,0,3.49650756146648,Коммунарка,European-style renovation
16.8,1.0,1.0,8,7.0,0.125,1,0,0,2.87919845729804,Калитники,Cosmetic
101.0,4.0,2.0,9,5.0,0.2222222222222222,0,0,0,4.624972813284271,Сухаревская,Without renovation
75.0,3.0,8.0,16,13.0,0.5,0,0,0,4.330733340286331,Новоясеневская,European-style renovation
310.9,6.0,2.0,3,10.0,0.6666666666666666,0,0,0,5.742682623613757,Кропоткинская,Designer
60.0,2.0,1.0,14,18.0,0.0714285714285714,1,0,0,4.110873864173311,Новокосино,Designer
53.41,0.0,27.0,39,8.0,0.6923076923076923,0,0,1,3.996547960497834,Аминьевская,Without renovation
55.4,2.0,18.0,27,21.0,0.6666666666666666,0,0,0,4.032469158504013,Саларьево,Cosmetic
23.8,6.0,2.0,28,17.0,0.0714285714285714,0,0,0,3.210843653170937,Серпуховская,Cosmetic
37.8,1.0,10.0,17,28.0,0.5882352941176471,0,0,0,3.658420246629228,Пыхтино,Cosmetic
45.0,2.0,2.0,9,3.0,0.2222222222222222,0,0,0,3.828641396489095,Речной вокзал,European-style renovation
44.4,2.0,1.0,9,15.0,0.1111111111111111,1,0,0,3.8155121050473024,Отрадное,Cosmetic
303.0,6.0,3.0,12,4.0,0.25,0,0,0,5.717027701406222,Ломоносовский проспект,Without renovation
66.0,2.0,22.0,23,4.0,0.9565217391304348,0,0,0,4.204692619390966,Беляево,European-style renovation
57.0,1.0,4.0,8,13.0,0.5,0,0,0,4.060443010546419,Чкаловская,Designer
67.07,1.0,2.0,5,2.0,0.4,0,0,0,4.22053658745986,Площадь Революции,Designer
36.0,2.0,4.0,33,14.0,0.1212121212121212,0,0,0,3.610917912644224,Нижегородская,Cosmetic
61.6,0.0,1.0,8,10.0,0.125,1,0,1,4.136765278106052,Новокузнецкая,Without renovation
214.0,0.0,3.0,5,7.0,0.6,0,0,1,5.3706380281276624,Охотный ряд,Without renovation
129.0,5.0,5.0,8,2.0,0.625,0,0,0,4.867534450455582,Маяковская,Designer
35.1,2.0,9.0,9,20.0,1.0,0,1,0,3.586292865338835,Щелковская,Cosmetic
63.3,3.0,7.0,12,15.0,0.5833333333333334,0,0,0,4.163559631243574,Сетунь,Cosmetic
65.0,3.0,2.0,12,7.0,0.1666666666666666,0,0,0,4.189654742026425,Фонвизинская,Cosmetic
134.0,3.0,19.0,24,17.0,0.7916666666666666,0,0,0,4.90527477843843,Авиамоторная,Without renovation
35.4,1.0,7.0,14,20.0,0.5,0,0,0,3.594568774642695,Аминьевская,Without renovation
59.8,3.0,7.0,9,27.0,0.7777777777777778,0,0,0,4.107589788972121,Щелковская,Cosmetic
82.6,3.0,4.0,15,21.0,0.2666666666666666,0,0,0,4.426043520090656,ЗИЛ,Without renovation
31.5,1.0,15.0,22,24.0,0.6818181818181818,0,0,0,3.481240089335692,Ольховая,Cosmetic
16.8,0.0,2.0,3,27.0,0.6666666666666666,0,0,1,2.87919845729804,Селигерская,European-style renovation
34.5,1.0,16.0,16,15.0,1.0,0,1,0,3.56953269648137,Теплый Стан,Without renovation
38.3,1.0,4.0,18,6.0,0.2222222222222222,0,0,0,3.6712245188752153,Пыхтино,European-style renovation
270.0,5.0,9.0,11,2.0,0.8181818181818182,0,0,0,5.602118820879701,Маяковская,Designer
40.6,1.0,2.0,15,9.0,0.1333333333333333,0,0,0,3.728100167267218,Ольховая,Cosmetic
237.2,3.0,14.0,14,9.0,1.0,0,1,0,5.473110656921199,Спортивная,Designer
57.0,0.0,23.0,25,24.0,0.92,0,0,1,4.060443010546419,Трикотажная,Designer
88.5,4.0,5.0,6,5.0,0.8333333333333334,0,0,0,4.4942386252808095,Сретенский бульвар,European-style renovation
50.4,2.0,1.0,16,8.0,0.0625,1,0,0,3.93963817246112,Чертановская,Designer
38.1,1.0,4.0,23,14.0,0.1739130434782608,0,0,0,3.66612246699132,Раменки,Cosmetic
54.2,2.0,4.0,16,14.0,0.25,0,0,0,4.01096295328305,Белорусская,European-style renovation
199.0,6.0,4.0,13,8.0,0.3076923076923077,0,0,0,5.298317366548036,Новослободская,Without renovation
125.0,4.0,23.0,36,12.0,0.6388888888888888,0,0,0,4.836281906951478,Динамо,European-style renovation
94.1,3.0,4.0,5,10.0,0.8,0,0,0,4.554928969551344,Красные ворота,Designer
77.5,3.0,29.0,41,27.0,0.7073170731707317,0,0,0,4.363098624788363,Лужники,European-style renovation
39.3,1.0,6.0,12,16.0,0.5,0,0,0,3.696351468952637,Улица Старокачаловская,Cosmetic
85.4,2.0,7.0,17,13.0,0.4117647058823529,0,0,0,4.45898767581001,Ленинский проспект,Without renovation
36.1,1.0,3.0,4,37.0,0.75,0,0,0,3.6136169696133895,Бунинская Аллея,European-style renovation
118.0,3.0,4.0,20,17.0,0.2,0,0,0,4.77912349311153,Строгино,Designer
185.6,5.0,4.0,7,5.0,0.5714285714285714,0,0,0,5.228967288413243,Третьяковская,European-style renovation
21.0,0.0,1.0,17,4.0,0.0588235294117647,1,0,1,3.091042453358316,Некрасовка,Cosmetic
100.0,3.0,9.0,37,13.0,0.2432432432432432,0,0,0,4.61512051684126,Шелепиха,Without renovation
65.6,3.0,8.0,12,29.0,0.6666666666666666,0,0,0,4.198704577546343,Покровское,Cosmetic
77.0,3.0,4.0,6,13.0,0.6666666666666666,0,0,0,4.356708826689592,Шелепиха,Designer
99.6,4.0,5.0,9,7.0,0.5555555555555556,0,0,0,4.611152257665639,Достоевская,Cosmetic
56.0,2.0,15.0,16,3.0,0.9375,0,0,0,4.04305126783455,Щелковская,European-style renovation
14.6,0.0,1.0,4,8.0,0.25,1,0,1,2.747270914255491,Чистые пруды,European-style renovation
66.8,3.0,1.0,7,12.0,0.1428571428571428,1,0,0,4.216562194946349,Сокол,European-style renovation
22.9,0.0,21.0,23,9.0,0.9130434782608696,0,0,1,3.173878458937465,Лесопарковая,Designer
74.0,3.0,3.0,5,18.0,0.6,0,0,0,4.31748811353631,Измайловская,European-style renovation
98.6,2.0,7.0,12,5.0,0.5833333333333334,0,0,0,4.601162164590552,Маяковская,European-style renovation
260.0,5.0,21.0,22,20.0,0.9545454545454546,0,0,0,5.564520407322694,Ломоносовский проспект,Without renovation
75.3,3.0,7.0,17,14.0,0.4117647058823529,0,0,0,4.334672938290411,Народное Ополчение,European-style renovation
44.7,1.0,2.0,18,9.0,0.1111111111111111,0,0,0,3.822098297900159,Щелковская,Cosmetic
22.0,0.0,6.0,6,8.0,1.0,0,1,1,3.1354942159291497,Динамо,Without renovation
161.0,4.0,3.0,5,4.0,0.6,0,0,0,5.087596335232384,Кропоткинская,Designer
164.0,4.0,5.0,5,12.0,1.0,0,1,0,5.10594547390058,Курская,European-style renovation
180.0,4.0,18.0,31,16.0,0.5806451612903226,0,0,0,5.198497031265826,Славянский бульвар,Designer
79.0,2.0,2.0,12,23.0,0.1666666666666666,0,0,0,4.382026634673881,Коммунарка,Designer
83.7,4.0,14.0,30,18.0,0.4666666666666667,0,0,0,4.439115601658009,Бунинская Аллея,European-style renovation
19.8,6.0,23.0,23,18.0,1.0,0,1,0,3.0349529867072724,Кантемировская,Cosmetic
36.0,1.0,16.0,17,12.0,0.9411764705882352,0,0,0,3.610917912644224,Щербинка,Cosmetic
68.8,2.0,5.0,11,5.0,0.4545454545454545,0,0,0,4.245634009768327,Панфиловская,European-style renovation
78.6,3.0,11.0,14,6.0,0.7857142857142857,0,0,0,4.377014092850337,Борисово,European-style renovation
